population,access_rate,beta,pfprunder5,pfpr2to10,pfprall
30.0,0.5,0.4,0.7496110208232886,0.6075378083388919,0.4814735864107195
30.0,0.5,0.5,0.7555032528029819,0.6405058942820165,0.5109013003232017
30.0,0.5,0.6,0.8093696568309572,0.6530263959395152,0.5041545906932152
30.0,0.5,0.8,0.8387017245990738,0.7144234040297819,0.570671095676177
30.0,0.5,1.0,0.8509787435145407,0.7417631833560752,0.5868435278505519
40.0,0.5,0.001,0.0,0.0,0.0
40.0,0.5,0.005,0.0,0.0,0.0
40.0,0.5,0.01,0.0,0.0,0.0
40.0,0.5,0.0125,0.0,0.0,0.0
40.0,0.5,0.015,0.0,0.0,0.0
40.0,0.5,0.02,0.0,0.0,0.0
40.0,0.5,0.03,0.028582941278503783,0.025712730816897483,0.020873466439908575
40.0,0.5,0.04,0.0735623602579285,0.06271676855717072,0.05736646764229553
40.0,0.5,0.05,0.15394359322357493,0.1338509736029664,0.11851875058973596
40.0,0.5,0.1,0.37124454465179174,0.34096234373141376,0.2797759242400696
40.0,0.5,0.15,0.5570852858403941,0.47158354141750297,0.3716034641115962
40.0,0.5,0.2,0.5698835795372674,0.4789397211745555,0.38220643318141845
40.0,0.5,0.25,0.6460206307586195,0.5433691860722946,0.41742494896682975
40.0,0.5,0.3,0.6785816398847625,0.565368969522507,0.45228270475328197
40.0,0.5,0.4,0.7487769855017957,0.6173747384212496,0.4828965759280937
40.0,0.5,0.5,0.788068927523447,0.6646546512686718,0.5198337461589662
40.0,0.5,0.6,0.8049525723971855,0.7064914989420993,0.5371805772958613
40.0,0.5,0.8,0.8295935864566862,0.7181187706918768,0.5619076687625837
40.0,0.5,1.0,0.844832402556133,0.7434715075576859,0.5878991849142593
50.0,0.5,0.001,0.0,0.0,0.0
50.0,0.5,0.005,0.0,0.0,0.0
50.0,0.5,0.01,0.0,0.0,0.0
50.0,0.5,0.0125,0.0,0.0,0.0
50.0,0.5,0.015,0.0,0.0,0.0
50.0,0.5,0.02,0.021342669660684366,0.01629878766666203,0.015898554960989693
50.0,0.5,0.03,0.06013610975428455,0.05450605015511312,0.046281834691712764
50.0,0.5,0.04,0.06080109718390214,0.05396889904801472,0.0484203318908306
50.0,0.5,0.05,0.1519805247518658,0.12737187559729085,0.1163814524821851
50.0,0.5,0.1,0.4638403908116852,0.3834285034660294,0.32694635656936855
50.0,0.5,0.15,0.547155937021996,0.44616556804965,0.3687601691364583
50.0,0.5,0.2,0.5593028022824503,0.46363623855199004,0.37980187884696615
50.0,0.5,0.25,0.640853842304708,0.5384289046011715,0.4234006609686111
50.0,0.5,0.3,0.6978273738789695,0.5635514268552398,0.44713780703547445
50.0,0.5,0.4,0.7319768563167532,0.6071947344394835,0.48712758315267185
50.0,0.5,0.5,0.782360808707519,0.6646752767215154,0.5149312042117649
50.0,0.5,0.6,0.8177440864720105,0.6857738876960758,0.5408936806583574
50.0,0.5,0.8,0.8314017326369167,0.7063149166335756,0.5560129516995909
50.0,0.5,1.0,0.8592727260633586,0.7530853142332424,0.5897189780182821
75.0,0.5,0.001,0.0,0.0,0.0
75.0,0.5,0.005,0.0,0.0,0.0
75.0,0.5,0.01,0.0,0.0,0.0
75.0,0.5,0.0125,0.0,0.0,0.0
75.0,0.5,0.015,0.0,0.0,0.0
75.0,0.5,0.02,0.026576294328705213,0.022521794197537828,0.020447134873500604
75.0,0.5,0.03,0.1462845309245902,0.1290926008978606,0.1173838438751402
75.0,0.5,0.04,0.18077081659060384,0.1626530201487147,0.14375505855694545
75.0,0.5,0.05,0.22017089267264742,0.19075271731201668,0.1651419626640273
75.0,0.5,0.1,0.42952672903908085,0.36534065569082036,0.3122187648596232
