population,access_rate,beta,pfprunder5,pfpr2to10,pfprall
10.0,0.787,0.2,0.0,0.0,0.0
10.0,0.787,0.25,0.05423611111111111,0.047539682539682535,0.03704613095238096
10.0,0.787,0.3,0.17735119047619047,0.18757936507936504,0.13430279028963238
10.0,0.787,0.4,0.21201388888888886,0.17540013227513226,0.14179262947306678
10.0,0.787,0.5,0.2632804232804232,0.276017316017316,0.2063107245706687
10.0,0.787,0.6,0.42516285797535797,0.37297483766233763,0.2819489286047916
10.0,0.787,0.8,0.5556944444444445,0.46032407407407405,0.349875479178401
10.0,0.787,1.0,0.49892691798941796,0.5018259055759056,0.36635409979740474
10.0,0.847,0.001,0.0,0.0,0.0
10.0,0.847,0.005,0.0,0.0,0.0
10.0,0.847,0.01,0.0,0.0,0.0
10.0,0.847,0.0125,0.0,0.0,0.0
10.0,0.847,0.015,0.0,0.0,0.0
10.0,0.847,0.02,0.0,0.0,0.0
10.0,0.847,0.03,0.0,0.0,0.0
10.0,0.847,0.04,0.0,0.0,0.0
10.0,0.847,0.05,0.0,0.0,0.0
10.0,0.847,0.1,0.0,0.0,0.0
10.0,0.847,0.15,0.003125,0.0077083333333333335,0.008012820512820512
10.0,0.847,0.2,0.07972222222222222,0.06488095238095237,0.056866605616605614
10.0,0.847,0.25,0.0,0.0,0.0
10.0,0.847,0.3,0.1236706349206349,0.09837301587301586,0.07620270037839698
10.0,0.847,0.4,0.10505787037037037,0.09661210317460318,0.07594787157287157
10.0,0.847,0.5,0.373015873015873,0.3318253968253968,0.2409943878790628
10.0,0.847,0.6,0.3219047619047619,0.25715773809523806,0.19836759484495553
10.0,0.847,0.8,0.4589103835978836,0.3965873015873016,0.30673663955010705
10.0,0.847,1.0,0.43403769841269835,0.38212797619047617,0.3118381242331513
20.0,0.451,0.001,0.0,0.0,0.0
20.0,0.451,0.005,0.0,0.0,0.0
20.0,0.451,0.01,0.0,0.0,0.0
20.0,0.451,0.0125,0.0,0.0,0.0
20.0,0.451,0.015,0.0,0.0,0.0
20.0,0.451,0.02,0.0,0.0,0.0
20.0,0.451,0.03,0.0,0.0,0.0
20.0,0.451,0.04,0.01547453703703704,0.015012254901960786,0.016687869592281357
20.0,0.451,0.05,0.0,0.0,0.0
20.0,0.451,0.1,0.09893515049765049,0.08442627973877974,0.06989993784014943
20.0,0.451,0.15,0.15875165343915343,0.1257641317016317,0.10105000658390828
20.0,0.451,0.2,0.26725033068783066,0.2179416301291301,0.16597788250579637
20.0,0.451,0.25,0.29879958004958007,0.2537482771857772,0.19477483405090085
20.0,0.451,0.3,0.3860123733836969,0.3208850061975062,0.23009750282435792
20.0,0.451,0.4,0.5350366762866763,0.4461039076664076,0.31986262373203955
20.0,0.451,0.5,0.7423974867724867,0.5864342948717949,0.42638894764777646
20.0,0.451,0.6,0.6726107804232804,0.5786455327080328,0.40597889763694583
20.0,0.451,0.8,0.7544291125541125,0.6211762311762312,0.4544203069841843
20.0,0.451,1.0,0.8323051138676139,0.7297719525844525,0.5357709659925256
20.0,0.486,0.001,0.0,0.0,0.0
20.0,0.486,0.005,0.0,0.0,0.0
20.0,0.486,0.01,0.0,0.0,0.0
20.0,0.486,0.0125,0.0,0.0,0.0
20.0,0.486,0.015,0.0,0.0,0.0
20.0,0.486,0.02,0.0,0.0,0.0
20.0,0.486,0.03,0.0,0.0,0.0
20.0,0.486,0.04,0.0,0.0,0.0
20.0,0.486,0.05,0.0,0.0,0.0
20.0,0.486,0.1,0.0640993265993266,0.05092568311318311,0.04062897048473611
20.0,0.486,0.15,0.22382924945424945,0.2002818709068709,0.14695260881410507
20.0,0.486,0.2,0.17016261516261516,0.1495007276900659,0.11718497122010925
20.0,0.486,0.25,0.3431382275132275,0.27220147907647907,0.19606624872494174
20.0,0.486,0.3,0.47560032560032556,0.3649560206269765,0.2803577975949177
