population,access_rate,beta,pfprunder5,pfpr2to10,pfprall
10.0,0.787,0.5,0.0,0.0,0.0
10.0,0.787,0.6,0.06493055555555556,0.06354166666666668,0.05305059523809523
10.0,0.787,0.8,0.0,0.025,0.024999999999999998
10.0,0.787,1.0,0.030555555555555548,0.04375,0.042222222222222223
10.0,0.847,0.001,0.0,0.0,0.0
10.0,0.847,0.005,0.0,0.0,0.0
10.0,0.847,0.01,0.0,0.0,0.0
10.0,0.847,0.0125,0.0,0.0,0.0
10.0,0.847,0.015,0.0,0.0,0.0
10.0,0.847,0.02,0.0,0.0,0.0
10.0,0.847,0.03,0.0,0.0,0.0
10.0,0.847,0.04,0.0,0.0,0.0
10.0,0.847,0.05,0.0,0.0,0.0
10.0,0.847,0.1,0.0,0.0,0.0
10.0,0.847,0.15,0.0,0.0,0.0
10.0,0.847,0.2,0.0,0.0,0.0
10.0,0.847,0.25,0.0,0.0,0.0
10.0,0.847,0.3,0.0,0.0,0.0
10.0,0.847,0.4,0.0,0.0,0.0
10.0,0.847,0.5,0.0,0.0,0.0
10.0,0.847,0.6,0.0,0.0,0.0
10.0,0.847,0.8,0.0,0.0,0.0
10.0,0.847,1.0,0.041666666666666664,0.02708333333333333,0.03229166666666666
20.0,0.451,0.001,0.0,0.0,0.0
20.0,0.451,0.005,0.0,0.0,0.0
20.0,0.451,0.01,0.0,0.0,0.0
20.0,0.451,0.0125,0.0,0.0,0.0
20.0,0.451,0.015,0.0,0.0,0.0
20.0,0.451,0.02,0.0,0.0,0.0
20.0,0.451,0.03,0.0,0.0,0.0
20.0,0.451,0.04,0.0,0.0,0.0
20.0,0.451,0.05,0.0,0.0,0.0
20.0,0.451,0.1,0.0,0.0,0.0
20.0,0.451,0.15,0.0,0.0,0.0
20.0,0.451,0.2,0.0,0.0,0.0
20.0,0.451,0.25,0.0,0.0,0.0
20.0,0.451,0.3,0.0,0.0,0.0
20.0,0.451,0.4,0.0375,0.0375,0.025380291005291
20.0,0.451,0.5,0.030902777777777772,0.029166666666666667,0.026805555555555555
20.0,0.451,0.6,0.0,0.0,0.0
20.0,0.451,0.8,0.09791666666666667,0.065625,0.05693617724867724
20.0,0.451,1.0,0.35659722222222223,0.26111111111111107,0.20212136243386242
20.0,0.486,0.001,0.0,0.0,0.0
20.0,0.486,0.005,0.0,0.0,0.0
