population,access_rate,beta,pfpr2to10
25.0,0.85,0.8,48.49735449735449
25.0,0.85,1.0,50.729166666666664
25.0,0.9,0.001,0.0
25.0,0.9,0.005,0.0
25.0,0.9,0.01,0.0
25.0,0.9,0.0125,0.0
25.0,0.9,0.015,0.0
25.0,0.9,0.02,0.0
25.0,0.9,0.03,0.0
25.0,0.9,0.04,0.0
25.0,0.9,0.05,0.0
25.0,0.9,0.1,3.2337962962962963
25.0,0.9,0.15,6.327411014911014
25.0,0.9,0.2,7.275432900432899
25.0,0.9,0.25,14.462632275132274
25.0,0.9,0.3,32.3294067044067
25.0,0.9,0.4,30.46278258778259
25.0,0.9,0.5,36.44883357383357
25.0,0.9,0.6,45.938462000962
25.0,0.9,0.8,48.53753422503423
25.0,0.9,1.0,55.67243867243867
25.0,0.95,0.001,0.0
25.0,0.95,0.005,0.0
25.0,0.95,0.01,0.0
25.0,0.95,0.0125,0.0
25.0,0.95,0.015,0.0
25.0,0.95,0.02,0.0
25.0,0.95,0.03,0.0
25.0,0.95,0.04,0.0
25.0,0.95,0.05,0.0
25.0,0.95,0.1,0.0
25.0,0.95,0.15,4.460886335886335
25.0,0.95,0.2,20.596200096200093
25.0,0.95,0.25,19.023707773707773
25.0,0.95,0.3,10.21314796314796
25.0,0.95,0.4,20.59490740740741
25.0,0.95,0.5,40.46723184223184
25.0,0.95,0.6,34.571972009472006
25.0,0.95,0.8,45.454695767195766
25.0,0.95,1.0,52.224326599326595
50.0,0.5,0.001,0.0
50.0,0.5,0.005,0.0
50.0,0.5,0.01,0.0
50.0,0.5,0.0125,0.0
50.0,0.5,0.015,0.0
50.0,0.5,0.02,0.0
50.0,0.5,0.03,0.0
50.0,0.5,0.04,0.0
50.0,0.5,0.05,0.0
50.0,0.5,0.1,2.179783950617284
50.0,0.5,0.15,30.192135690501704
50.0,0.5,0.2,31.94320543004753
50.0,0.5,0.25,30.83944250385169
50.0,0.5,0.3,32.08622064003471
50.0,0.5,0.4,36.40990658760266
50.0,0.5,0.5,41.69684142110612
50.0,0.5,0.6,43.97452025290002
50.0,0.5,0.8,46.7121201843424
50.0,0.5,1.0,49.01636814831259
50.0,0.55,0.001,0.0
50.0,0.55,0.005,0.0
50.0,0.55,0.01,0.0
50.0,0.55,0.0125,0.0
50.0,0.55,0.015,0.0
50.0,0.55,0.02,0.0
50.0,0.55,0.03,0.0
50.0,0.55,0.04,0.0
50.0,0.55,0.05,0.0
50.0,0.55,0.1,3.152053950235065
50.0,0.55,0.15,15.298558180502624
50.0,0.55,0.2,18.05491319380208
50.0,0.55,0.25,23.969673738873084
50.0,0.55,0.3,34.296742861414344
50.0,0.55,0.4,41.79436663204293
50.0,0.55,0.5,44.67516151543929
50.0,0.55,0.6,48.39951989397294
50.0,0.55,0.8,53.67035998980444
50.0,0.55,1.0,51.16131553631553
50.0,0.6,0.001,0.0
